=======
RESULTS
=======

Duration of BST Search: 45902000  nanoseconds
Duration of AVL Search: 32935000  nanoseconds
Duration of Hash Table Search: 5016000  nanoseconds



==============
SEARCHED WORDS
==============

Words searched: 18197

143) Found the word: investigations		 with [28] duplicates.
144) Found the word: dissertations		 with [3] duplicates.
145) Found the word: scientific		 with [39] duplicates.
146) Found the word: theories		 with [36] duplicates.
147) Found the word: consequently		 with [62] duplicates.
148) Found the word: collated		 with [1] duplicates.
149) Found the word: arranged		 with [171] duplicates.
150) Found the word: detailed		 with [28] duplicates.
151) Found the word: researchas		 with [1] duplicates.
152) Found the word: reason		 with [498] duplicates.
153) Found the word: different		 with [632] duplicates.
154) Found the word: appear		 with [464] duplicates.
155) Found the word: confusion		 with [134] duplicates.
156) Found the word: connection		 with [254] duplicates.
157) Found the word: begin		 with [217] duplicates.
158) Found the word: astronomy		 with [23] duplicates.
159) Found the word: come		 with [1777] duplicates.
160) Found the word: Another		 with [146] duplicates.
161) Found the word: philosophical		 with [11] duplicates.
162) Found the word: relations		 with [251] duplicates.
163) Found the word: poetry		 with [29] duplicates.
164) Found the word: originals		 with [7] duplicates.
165) Found the word: fulfil		 with [9] duplicates.
166) Found the word: labyrinth		 with [10] duplicates.
167) Found the word: done		 with [916] duplicates.
168) Found the word: five		 with [447] duplicates.
169) Found the word: manuscript		 with [30] duplicates.
170) Found the word: leaves		 with [189] duplicates.
171) Found the word: present		 with [699] duplicates.
172) Found the word: justification		 with [34] duplicates.
173) Found the word: fancy		 with [87] duplicates.
174) Found the word: brought		 with [844] duplicates.
175) Found the word: obviously		 with [83] duplicates.
176) Found the word: view		 with [383] duplicates.
177) Found the word: notes		 with [248] duplicates.
178) Found the word: extremely		 with [109] duplicates.
179) Found the word: cases		 with [906] duplicates.
180) Found the word: previous		 with [144] duplicates.
181) Found the word: Is		 with [261] duplicates.
182) Found the word: consecutive		 with [12] duplicates.
183) Found the word: indicated		 with [181] duplicates.
184) Found the word: In		 with [4096] duplicates.
185) Found the word: authoritative		 with [5] duplicates.
186) Found the word: clue		 with [48] duplicates.
187) Found the word: wanting		 with [44] duplicates.
188) Found the word: subject		 with [431] duplicates.
189) Found the word: always		 with [1359] duplicates.
190) Found the word: defined		 with [94] duplicates.
191) Found the word: itself		 with [739] duplicates.
192) Found the word: scattered		 with [120] duplicates.
193) Found the word: state		 with [1026] duplicates.
194) Found the word: beginning		 with [355] duplicates.
195) Found the word: death		 with [667] duplicates.
196) Found the word: Thus		 with [213] duplicates.
197) Found the word: represent		 with [97] duplicates.
198) Found the word: thirty		 with [162] duplicates.
199) Found the word: time		 with [3265] duplicates.
200) Found the word: little		 with [2091] duplicates.
201) Found the word: judge		 with [98] duplicates.
202) Found the word: assigned		 with [43] duplicates.
203) Found the word: incidentally		 with [20] duplicates.
204) Found the word: since		 with [570] duplicates.
205) Found the word: chronological		 with [7] duplicates.
206) Found the word: generally		 with [191] duplicates.
207) Found the word: self		 with [30] duplicates.
208) Found the word: England		 with [584] duplicates.
209) Found the word: France		 with [351] duplicates.
210) Found the word: given		 with [970] duplicates.
211) Found the word: II		 with [210] duplicates.
212) Found the word: regarded		 with [243] duplicates.
213) Found the word: extant		 with [6] duplicates.
214) Found the word: numbers		 with [137] duplicates.
215) Found the word: passage		 with [382] duplicates.
216) Found the word: work		 with [954] duplicates.
217) Found the word: indicate		 with [78] duplicates.
218) Found the word: figures		 with [199] duplicates.
219) Found the word: found		 with [1233] duplicates.
220) Found the word: ascertain		 with [27] duplicates.
221) Found the word: Bibliographical		 with [2] duplicates.
222) Found the word: index		 with [23] duplicates.
223) Found the word: scope		 with [17] duplicates.
224) Found the word: here		 with [1401] duplicates.
225) Found the word: observed		 with [275] duplicates.
226) Found the word: passages		 with [99] duplicates.
227) Found the word: printed		 with [80] duplicates.
228) Found the word: Mechanics		 with [8] duplicates.
229) Found the word: specialists		 with [4] duplicates.
230) Found the word: necessary		 with [698] duplicates.
231) Found the word: Paris		 with [173] duplicates.
232) Found the word: six		 with [308] duplicates.
233) Found the word: editions		 with [41] duplicates.
234) Found the word: supposed		 with [105] duplicates.
